# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
mslug3b6	Run & gun	2	horizontal	mslug3	Metal Slug 6 (bootleg of Metal Slug 3)	2000	bootleg
mslug3c	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Enemy Remix, Hack)	2019	hack
mslug3cq	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Legend, Hack)	2024	hack
mslug3cqi	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Legendary Unlimited Fire v7.5, Hack)	2025	hack (AKS & Sakura)
mslug3cqt	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Legend TD v6.0, Hack)	2025	AKS & Sakura
mslug3cqz	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Legendary Journey v5.0, Hack)	2025	AKS & Sakura
mslug3dd	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Starlight, Hack)	2022	hack
mslug3eb	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Blue, Hack)	2014	hack
mslug3fd	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Fully Decrypted)	2000	SNK
mslug3g	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Multifunction, Hack)	2022	hack
mslug3gw	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Onimusha Samanosuke, Hack)	2018	hack
mslug3h	Run & gun	2	horizontal	mslug3	Metal Slug 3 (NGH-2560)	2000	SNK
mslug3i	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Firepower Enhance, Hack)	2021	hack
mslug3ki	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Komorebi, Hack)	2022	hack
mslug3lw	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Last Bullet Remix, Hack)	2023	hack
mslug3ps	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Pigeon Slug, Hack)	2023	hack
mslug3sc	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Survival, Hack)	2023	hack
mslug3sd	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Shop, Hack)	2017	hack
mslug3se	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Special, Hack)	2022	hack
mslug3unity	Run & gun	2	horizontal	mslug3	Metal Slug 3 Unity (Added Timer Ver. 2021-02-13)	2021	hack
mslug3v	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Enhanced Violence, Hack)	2012	hack
mslug3x	Run & gun	1	horizontal		Metal Slug 3X - Complete Collection (Hack)	2022	WillNie
mslug3zh	Run & gun	2	horizontal	mslug3	Metal Slug 3 (Vehicle Summon, Hack)	2017	hack
mslug4	Run & gun	2	horizontal		Metal Slug 4 (NGM-2630)	2002	Mega / Noise Factory / Playmore
mslug4a	Run & gun	2	horizontal	mslug4	Metal Slug 4 (20th Anniversary, Hack)	2021	hack
mslug4ar	Run & gun	2	horizontal	mslug4	Metal Slug 4 (Random Ammunition, Hack)	2023	hack
mslug4c	Run & gun	2	horizontal	mslug4	Metal Slug 4 (Enemy Remix, Hack)	2020	hack
mslug4cqi	Run & gun	2	horizontal	mslug4	Metal Slug 4 (Legendary Unlimited Fire v7.0, Hack)	2025	AKS & Sakura
mslug4dd	Run & gun	2	horizontal	mslug4	Metal Slug 4 (Starlight, Hack)	2022	hack
mslug4dg	Run & gun	2	horizontal	mslug4	Metal Slug 4 (Multifunction, Hack)	2017	hack
mslug4fd	Run & gun	2	horizontal	mslug4	Metal Slug 4 (Fully Decrypted)	2002	Mega / Noise Factory / Playmore
mslug4h	Run & gun	2	horizontal	mslug4	Metal Slug 4 (NGH-2630)	2002	Mega / Noise Factory / Playmore
mslug4ki	Run & gun	2	horizontal	mslug4	Metal Slug 4 (Komorebi, Hack)	2022	hack
mslug4lq	Run & gun	2	horizontal	mslug4	Metal Slug 4 (Last Bullet Remix - Without body armor, Hack)	2023	hack
mslug4lw	Run & gun	2	horizontal	mslug4	Metal Slug 4 (Last Bullet Remix, Hack)	2023	hack
mslug4q	Run & gun	2	horizontal	mslug4	Metal Slug 4 (The Longest Battle, Hack)	2022	hack
mslug4unity	Run & gun	2	horizontal	mslug4	Metal Slug 4 Unity (Added Timer Ver. 2021-01-30)	2021	hack
mslug5	Run & gun	2	horizontal		Metal Slug 5 (NGM-2680)	2003	SNK Playmore
mslug5ae	Run & gun	2	horizontal	mslug5	Metal Slug 5 (20th Anniversary, Hack)	2024	hack
mslug5ar	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Random Ammunition, Hack)	2025	hack
mslug5b	Run & gun	2	horizontal	mslug5	Metal Slug 5 (bootleg, set 1)	2003	bootleg
mslug5b2	Run & gun	2	horizontal	mslug5	Metal Slug 5 (bootleg, set 2)	2003	bootleg
mslug5bs	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Boss Battles, Hack)	2024	hack
mslug5c	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Enemy Remix, Hack)	2019	hack
mslug5cqi	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Legendary Unlimited Fire v7.5, Hack)	2025	AKS & Sakura
mslug5db	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Enemy Enhance, Hack)	2022	hack
mslug5dd	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Starlight, Hack)	2022	hack
mslug5dg	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Multifunction, Hack)	2017	hack
mslug5es	Run & gun	2	horizontal	mslug5	Metal Slug 5 (The Longest Battle, Hack)	2023	hack
mslug5ex	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Extend v1.2, Hack)	2022	hack
mslug5f	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Fierce Battle, Hack)	2015	hack
mslug5fd	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Fully Decrypted)	2003	SNK Playmore
mslug5h	Run & gun	2	horizontal	mslug5	Metal Slug 5 (NGH-2680)	2003	SNK Playmore
mslug5ki	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Komorebi, Hack)	2022	hack
mslug5mg	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Devil Enemy Remix, Hack)	2019	hack
mslug5nd	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Not Encrypted)	2003	SNK Playmore
mslug5sc	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Survival, Hack)	2023	hack
mslug5sg	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Stone Turtle, Hack)	2024	hack
mslug5unity	Run & gun	2	horizontal	mslug5	Metal Slug 5 Unity (Added Timer Ver. 2021-04-23)	2021	hack
mslug5w	Run & gun	2	horizontal	mslug5	Metal Slug 5 (New Battle, Hack)	2015	hack
mslug5x	Run & gun	2	horizontal	mslug5	Metal Slug 5 (X, Hack)	2022	hack
mslug5zh	Run & gun	2	horizontal	mslug5	Metal Slug 5 (Vehicle Summon, Hack)	2018	hack
mslugdg	Run & gun	2	horizontal	mslug	Metal Slug - Super Vehicle-001 (Multifunction, Hack)	2018	hack
mslugdyf2	Run & gun	2	horizontal	mslug	Metal Slug - Super Vehicle-001 (Origins Item Random v2, Hack)	2025	Alice
mslugfc1	Run & gun	2	horizontal	mslug	Metal Slug - Super Vehicle-001 (Random Item, Hack)	2024	Alice
mslugfc2	Run & gun	2	horizontal	mslug	Metal Slug - Super Vehicle-001 (Random Item & Powerful Enemy Defense, Hack)	2024	Alice
mslugfs	Run & gun	2	horizontal	mslug	Metal Slug - Super Vehicle-001 (Firepower Showdown, Hack)	2024	hack
mslugqy	Run & gun	2	horizontal	mslug	Metal Slug - Super Vehicle-001 (Origins, Hack)	2025	AKS & Sakura
mslugunity	Run & gun	2	horizontal	mslug	Metal Slug Unity (Added Timer Ver. 2021-02-05)	2021	hack
mslugx	Run & gun	2	horizontal		Metal Slug X - Super Vehicle-001 (NGM-2500 ~ NGH-2500)	1999	SNK
mslugx2r	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (2R, Hack)	2020	hack
mslugxc1	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Multi Vehicle, Hack)	2013	hack
mslugxc2	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Enemy Remix, Hack)	2013	hack
mslugxcq	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Legend, Hack)	2024	hack
mslugxcqi	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Legendary Unlimited Fire v7.5, Hack)	2025	hack (AKS & Sakura)
mslugxdd	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Starlight, Hack)	2022	hack
mslugxdg	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Multifunction, Hack)	2023	hack
mslugxeb	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Blue, Hack)	2016	hack
mslugxif	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Infinite Firepower, Hack)	2021	hack
mslugxlb	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Extreme Space, Hack)	2015	hack
mslugxsc	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Survival, Hack)	2023	hack
mslugxsv	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Unbounded, Hack)	2021	hack
mslugxunity	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 Unity (Added Timer Ver. 2021-01-23)	2021	hack
mslugxxb	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Soldier Version, Hack)	2025	hack
mslugxxr	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (Warriors, Hack)	2021	hack
mspackpls	Maze / Action	2	vertical	mspacman	Miss Packman Plus	1983	hack
mspacmab	Maze / Action	2	vertical	mspacman	Ms. Pac-Man (bootleg, set 1)	1981	bootleg
mspacmab2	Maze / Action	2	vertical	mspacman	Ms. Pac-Man (bootleg, set 2)	1981	bootleg
mspacmab3	Maze / Action	2	vertical	puckman	Ms. Pac-Man (bootleg, set 3)	1981	bootleg
mspacmab4	Maze / Action	2	vertical	mspacman	Ms. Pac-Man (bootleg, set 4)	1981	bootleg
mspacmab5	Maze / Action	2	vertical	puckman	Ms. Pac-Man (bootleg, set 5)	1981	bootleg
mspacman	Maze / Action	2	vertical		Ms. Pac-Man	1981	Midway / General Computer Corporation
mspacmanbcc	Maze / Action	2	vertical	mspacman	Come-Cocos (Ms. Pac-Man) ('Made in Greece' Tecnausa bootleg)	1991	bootleg (Tecnausa)
mspacmanbco	Maze / Action	2	vertical	mspacman	Come-Cocos (Ms. Pac-Man) (Cocamatic bootleg)	1992	bootleg (Cocamatic)
mspacmanbg	Maze / Action	2	vertical	mspacman	Ms. Pac-Man ('Made in Greece' bootleg, set 1)	198?	bootleg
mspacmanbg2	Maze / Action	2	vertical	mspacman	Ms. Pac-Man ('Made in Greece' bootleg, set 2)	1997	bootleg
mspacmanbgc	Maze / Action	2	vertical	mspacman	Ms. Pac-Man ('Made in Greece' Enavi bootleg)	1992	bootleg (Enavi)
mspacmanbgd	Maze / Action	2	vertical	mspacman	Miss Pukman ('Made in Greece' Datamat bootleg)	1992	bootleg (Datamat)
mspacmanbgf	Maze / Action	2	vertical	mspacman	Mr Pac-Turbo ('Made in Greece' Fermin bootleg)	1988	bootleg (Fermin)
mspacmanbhe	Maze / Action	2	vertical	mspacman	Come-Cocos (Ms. Pac-Man) ('Made in Greece' Herle SA bootleg)	1991	bootleg (Herle SA)
mspacmanbi	Maze / Action	2	vertical	mspacman	Ms. Pac-Man (Impeuropex bootleg)	1993	bootleg (Impeuropex)
mspacmanblt	Maze / Action	2	vertical	mspacman	Come-Cocos (Ms. Pac-Man) ('Made in Greece' Triunvi bootleg, set 1)	1992	bootleg (Triunvi)
mspacmanblt2	Maze / Action	2	vertical	mspacman	Come-Cocos (Ms. Pac-Man) ('Made in Greece' Triunvi bootleg, set 2)	1992	bootleg (Triunvi)
mspacmanblt3	Maze / Action	2	vertical	mspacman	Come-Cocos (Ms. Pac-Man) ('Made in Greece' Triunvi bootleg, set 3)	1992	bootleg (Triunvi)
mspacmane	Maze / Action	2	vertical	mspacman	Ms. Pac-Man (Elmac bootleg, earlier)	1983	bootleg (Elmac)
mspacmane2	Maze / Action	2	vertical	mspacman	Ms. Pac-Man (Elmac bootleg, later)	1984	bootleg (Elmac)
mspacmanlai	Maze / Action	2	vertical	mspacman	Ms. Pac-Man (Leisure and Allied bootleg)	1982	bootleg (Leisure and Allied)
mspacmap	Maze / Action	2	vertical	mspacman	Ms. Pac-Man (Patched)	2007	Hack (Don Hodges)
mspacmat	Maze / Action	2	vertical	mspacman	Ms. Pac Attack	1981	hack
mspacmbe	Maze / Action	2	vertical	mspacman	Ms. Pac-Man (bootleg, encrypted)	1981	bootleg
mspacmbmc	Maze / Action	2	vertical	mspacman	Ms. Pac-Man (Marti Colls bootleg)	1982	bootleg (Marti Colls)
mspacmnf	Maze / Action	2	vertical	mspacman	Ms. Pac-Man (speedup hack)	1981	hack
mspacpls	Maze / Action	2	vertical	mspacman	Ms. Pac-Man Plus	1981?	hack
mspactwin	Maze / Action	2	vertical		Ms Pac Man Twin (Argentina, set 1)	1992	hack (Susilu)
mspactwina	Maze / Action	2	vertical	mspactwin	Ms Pac Man Twin (Argentina, set 2)	1992	hack (Susilu)
mspuzzle	Puzzle	2	vertical		Miss Puzzle	1994	Min Corp.
mspuzzlea	Puzzle	2	vertical	mspuzzle	Miss Puzzle (Nudes, less explicit)	1994	Min Corp.
mspuzzleb	Puzzle	2	vertical	mspuzzle	Miss Puzzle (Nudes, more explicit)	1994	Min Corp.
mspuzzleg	Puzzle	2	horizontal	gumbo	Miss Puzzle (Clone of Gumbo)	1994	Min Corp.
msqyfc1	Run & gun	2	horizontal	mslug	Metal Slug - Super Vehicle-001 (Origins Item Random, Hack)	2024	Alice
mstadium	Sports	2	horizontal	bottom9	Main Stadium (Japan)	1989	Konami
mstworld	Puzzle	2	horizontal		Monsters World (bootleg of Super Pang)	1994	bootleg (TCH)
msword	Beat 'em up	2	horizontal		Magic Sword: Heroic Fantasy (World 900725)	1990	Capcom
mswordj	Beat 'em up	2	horizontal	msword	Magic Sword: Heroic Fantasy (Japan 900623)	1990	Capcom
mswordr1	Beat 'em up	2	horizontal	msword	Magic Sword: Heroic Fantasy (World 900623)	1990	Capcom
mswordu	Beat 'em up	2	horizontal	msword	Magic Sword: Heroic Fantasy (USA 900725)	1990	Capcom
msx1v2	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (1v2 Mode, Hack)	2019	hack
msx2r1v2	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (2R 1v2 Mode, Hack)	2020	hack
msx2reb	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (2R Blue, Hack)	2020	hack
msxsrf	Run & gun	2	horizontal	mslugx	Metal Slug X - Super Vehicle-001 (AzStar Soda Remix FC2, Hack)	2021	hack
mtlchamp	Fighting	2	horizontal		Martial Champion (ver EAB)	1993	Konami
mtlchamp1	Fighting	2	horizontal	mtlchamp	Martial Champion (ver EAA)	1993	Konami
mtlchampa	Fighting	2	horizontal	mtlchamp	Martial Champion (ver AAA)	1993	Konami
mtlchampj	Fighting	2	horizontal	mtlchamp	Martial Champion (ver JAA)	1993	Konami
mtlchampu	Fighting	2	horizontal	mtlchamp	Martial Champion (ver UAE)	1993	Konami
mtlchampu1	Fighting	2	horizontal	mtlchamp	Martial Champion (ver UAD)	1993	Konami
mtrap	Action / Maze	2	horizontal		Mouse Trap (version 5)	1981	Exidy
mtrap2	Action / Maze	2	horizontal	mtrap	Mouse Trap (version 2)	1981	Exidy
mtrap3	Action / Maze	2	horizontal	mtrap	Mouse Trap (version 3)	1981	Exidy
mtrap4	Action / Maze	2	horizontal	mtrap	Mouse Trap (version 4)	1981	Exidy
mtrap4g	Action / Maze	2	horizontal	mtrap	Mouse Trap (German, version 4)	1981	Exidy
mtrapb	Action / Maze	2	horizontal	mtrap	Mouse Trap (bootleg)	1981	bootleg
mtrapb2	Action / Maze	2	horizontal	mtrap	Mouse Trap (version 4, bootleg)	1981	bootleg
mtwins	Platform	2	horizontal		Mega Twins (World 900619)	1990	Capcom
mtwinsb	Platform	2	horizontal	mtwins	Twins (bootleg of Mega Twins)	1993	David Inc. (bootleg)
mugsmash	Beat 'em up	2	horizontal		Mug Smashers	1990?	Electronic Devices Italy / 3D Games England
multchmp	Mini-games	2	horizontal		Multi Champ (World, ver. 9.6)	1999	ESD
multchmp25	Mini-games	2	horizontal	multchmp	Multi Champ (World, ver. 2.5)	1999	ESD
multchmpa	Mini-games	2	horizontal	multchmp	Multi Champ (World, older)	1998	ESD
multchmpk	Mini-games	2	horizontal	multchmp	Multi Champ (Korea, older)	1998	ESD
multi96	Mini-games	2	horizontal	twinadv	Multi Game '96 (Italy)	1996	Barko Corp.
musclem	Mini-games	1	horizontal		Muscle Master	1997	Inter Geo
mushisam	Vertical shooter	2	vertical		Mushihime-Sama (2004/10/12.MASTER VER.)	2004	Cave (AMI license)
mushisama	Vertical shooter	2	vertical	mushisam	Mushihime-Sama (2004/10/12 MASTER VER.)	2004	Cave (AMI license)
mushisamb	Vertical shooter	2	vertical	mushisam	Mushihime-Sama (2004/10/12 MASTER VER)	2004	Cave (AMI license)
mushitam	Puzzle	2	horizontal		Puzzle! Mushihime-Tama (2005/09/09.MASTER VER)	2005	Cave (AMI license)
mushitama	Puzzle	2	horizontal	mushitam	Puzzle! Mushihime-Tama (2005/09/09 MASTER VER)	2005	Cave (AMI license)
musicbal	Pinball	2	vertical		Music Ball	1988	Tecfri / Desystem S.A.
mustache	Maze	2	vertical		Mustache Boy (Japan)	1987	Seibu Kaihatsu (March license)
mustachei	Maze	2	vertical	mustache	Mustache Boy (Italy)	1987	Seibu Kaihatsu (International Games license)
mustang	Horizontal shooter	2	horizontal		US AAF Mustang (25th May. 1990)	1990	UPL
mustangb	Horizontal shooter	2	horizontal	mustang	US AAF Mustang (bootleg, set 1)	1990	bootleg
mustangb2	Horizontal shooter	2	horizontal	mustang	US AAF Mustang (TAB Austria bootleg)	1990	bootleg (TAB Austria)
mustangs	Horizontal shooter	2	horizontal	mustang	US AAF Mustang (25th May. 1990 / Seoul Trading)	1990	UPL (Seoul Trading license)
mutantf	Fighting	2	horizontal		Mutant Fighter (World ver EM-5)	1991	Data East Corporation
mutantf1	Fighting	2	horizontal	mutantf	Heroes (World ver EM-1)	1991	Data East Corporation
mutantf2	Fighting	2	horizontal	mutantf	Mutant Fighter (World ver EM-2)	1991	Data East Corporation
mutantf3	Fighting	2	horizontal	mutantf	Mutant Fighter (World ver EM-3)	1991	Data East Corporation
mutantf4	Fighting	2	horizontal	mutantf	Mutant Fighter (World ver EM-4)	1991	Data East Corporation
mutnat	Beat 'em up	2	horizontal		Mutation Nation (NGM-014 ~ NGH-014)	1992	SNK
mvp	Sports	2	horizontal		MVP (set 2, US) (FD1094 317-0143)	1989	Sega
mvpd	Sports	2	horizontal	mvp	MVP (set 2, US) (bootleg of FD1094 317-0143 set)	1989	bootleg
mvpj	Sports	2	horizontal	mvp	MVP (set 1, Japan) (FD1094 317-0142)	1989	Sega
mvpjd	Sports	2	horizontal	mvp	MVP (set 1, Japan) (bootleg of FD1094 317-0142 set)	1989	bootleg
mvsc	Fighting	2	horizontal		Marvel Vs. Capcom: Clash of Super Heroes (Europe 980123)	1998	Capcom
mvsca	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (Asia 980123)	1998	Capcom
mvscar1	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (Asia 980112)	1998	Capcom
mvscb	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (Brazil 980123)	1998	Capcom
mvscbh	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (Boss Hack)	1998	0 DAY-S[EGCG]
mvscem	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (Easy Moves, Hack)	2009	hack
mvsch	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (Hispanic 980123)	1998	Capcom
mvscj	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (Japan 980123)	1998	Capcom
mvscjr1	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (Japan 980112)	1998	Capcom
mvscjsing	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (Japan 980123) (Single PCB)	1998	Capcom
mvscr1	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (Europe 980112)	1998	Capcom
mvscu	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (USA 980123)	1998	Capcom
mvscud	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (USA 980123 Phoenix Edition) (bootleg)	1998	bootleg
mvscur1	Fighting	2	horizontal	mvsc	Marvel Vs. Capcom: Clash of Super Heroes (USA 971222)	1998	Capcom
mwalk	Platform	3	horizontal		Michael Jackson's Moonwalker (World) (FD1094/8751 317-0159)	1990	Sega
mwalkbl2	Platform	3	horizontal	mwalk	Michael Jackson's Moonwalker (bootleg)	1990	bootleg
mwalkd	Platform	3	horizontal	mwalk	Michael Jackson's Moonwalker (World) (bootleg of FD1094/8751 317-0159 set)	1990	bootleg
mwalkj	Platform	3	horizontal	mwalk	Michael Jackson's Moonwalker (Japan) (FD1094/8751 317-0157)	1990	Sega
mwalkjd	Platform	3	horizontal	mwalk	Michael Jackson's Moonwalker (Japan) (bootleg of FD1094/8751 317-0157 set)	1990	bootleg
mwalku	Platform	3	horizontal	mwalk	Michael Jackson's Moonwalker (US) (FD1094/8751 317-0158)	1990	Sega
mwalkud	Platform	3	horizontal	mwalk	Michael Jackson's Moonwalker (US) (bootleg of FD1094/8751 317-0158 set)	1990	bootleg
mwarr	Fighting	2	horizontal		Mighty Warriors (24/1)	199?	Elettronica Video-Games
mx5000	Vertical shooter	2	vertical		MX5000 (version U)	1987	Konami
mx5000r	Vertical shooter	2	vertical	mx5000	MX5000 (version R)	1987	Konami
myangel	Quiz	2	horizontal		Kosodate Quiz My Angel (Japan)	1996	MOSS / Namco
myangel2	Quiz	2	horizontal		Kosodate Quiz My Angel 2 (Japan)	1997	MOSS / Namco
myhero	Platform	2	horizontal		My Hero (US, not encrypted)	1985	Coreland / Sega
myherobl	Platform	2	horizontal	myhero	My Hero (bootleg, 315-5132 encryption)	1985	bootleg
myherok	Platform	2	horizontal	myhero	Cheongchun Ilbeonji (Korea)	1985	Coreland / Sega
myqbert	Action	2	vertical	qbert	Mello Yello Q*bert	1982	Gottlieb
mysticri	Horizontal shooter	2	horizontal		Mystic Riders (World)	1992	Irem
mysticrib	Horizontal shooter	2	horizontal	mysticri	Mystic Riders (bootleg?)	1992	Irem
mystston	Maze	2	vertical		Mysterious Stones - Dr. John's Adventure	1984	Technos Japan
myststono	Maze	2	vertical	mystston	Mysterious Stones - Dr. Kick in Adventure	1984	Technos Japan
myststonoi	Maze	2	vertical	mystston	Mysterious Stones - Dr. Kick in Adventure (Itisa PCB)	1984	Technos Japan
mystwarr	Beat 'em up	4	horizontal		Mystic Warriors (ver EAA)	1993	Konami
mystwarra	Beat 'em up	4	horizontal	mystwarr	Mystic Warriors (ver AAB)	1993	Konami
mystwarraa	Beat 'em up	4	horizontal	mystwarr	Mystic Warriors (ver AAA)	1993	Konami
mystwarrj	Beat 'em up	4	horizontal	mystwarr	Mystic Warriors (ver JAA)	1993	Konami
mystwarru	Beat 'em up	4	horizontal	mystwarr	Mystic Warriors (ver UAA)	1993	Konami
nam1975	Shooter	2	horizontal		NAM-1975 (NGM-001 ~ NGH-001)	1990	SNK
namenayo	Action	2	horizontal		Namennayo (Japan)	1982	Cat's
naname	Puzzle	2	horizontal		Naname de Magic! (Japan)	1994	Atlus
narc	Run & gun	2	horizontal		Narc (rev 7.00)	1988	Williams
narc1	Run & gun	2	horizontal	narc	Narc (rev 1.80)	1988	Williams
narc2	Run & gun	2	horizontal	narc	Narc (rev 2.00)	1988	Williams
narc3	Run & gun	2	horizontal	narc	Narc (rev 3.20)	1988	Williams
narc4	Run & gun	2	horizontal	narc	Narc (rev 4.00)	1988	Williams
narc6	Run & gun	2	horizontal	narc	Narc (rev 6.00)	1988	Williams
nastar	Beat 'em up	2	horizontal		Nastar (World)	1988	Taito Corporation Japan
nastarw	Beat 'em up	2	horizontal	nastar	Nastar Warrior (US)	1988	Taito America Corporation
natodef	Maze / Shooter	2	horizontal		NATO Defense	1982	Pacific Novelty
natodefa	Maze / Shooter	2	horizontal	natodef	NATO Defense (alternate mazes)	1982	Pacific Novelty
naughtyb	Action	2	vertical		Naughty Boy	1982	Jaleco
naughtyba	Action	2	vertical	naughtyb	Naughty Boy (bootleg, set 1)	1982	bootleg
naughtybb	Action	2	vertical	naughtyb	Naughty Boy (bootleg, set 2)	1982	bootleg
naughtybc	Action	2	vertical	naughtyb	Naughty Boy (Cinematronics)	1982	Jaleco (Cinematronics license)
navarone	Shooter	2	vertical		Navarone	1980	Namco
nbahangt	Sports	4	horizontal		NBA Hangtime (ver L1.3 10/10/96)	1996	Midway
nbahangtl11	Sports	4	horizontal	nbahangt	NBA Hangtime (ver L1.1 4/16/96)	1996	Midway
nbahangtl12	Sports	4	horizontal	nbahangt	NBA Hangtime (ver L1.2 8/29/96)	1996	Midway
nbahangtm11	Sports	4	horizontal	nbahangt	NBA Hangtime (ver M1.1 4/16/96)	1996	Midway
nbahangtm12	Sports	4	horizontal	nbahangt	NBA Hangtime (ver M1.2 8/29/96)	1996	Midway
nbahangtm13	Sports	4	horizontal	nbahangt	NBA Hangtime (ver M1.3 10/10/96)	1996	Midway
nbajam	Sports	4	horizontal		NBA Jam (rev 3.01 4/07/93)	1993	Midway
nbajamp1	Sports	4	horizontal	nbajam	NBA Jam (proto v 1.01 1/23/93)	1993	Midway
nbajamp2	Sports	4	horizontal	nbajam	NBA Jam (proto v 2.00 1/24/93)	1993	Midway
nbajamr1	Sports	4	horizontal	nbajam	NBA Jam (rev 1.00 2/1/93)	1993	Midway
nbajamr2	Sports	4	horizontal	nbajam	NBA Jam (rev 2.00 2/10/93)	1993	Midway
nbajamr4j	Sports	4	horizontal	nbajamte	NBA Rewind 4 Jam (protection hack, v1.2)	2023	hack
nbajamre	Sports	4	horizontal	nbajamte	NBA Jam Rewind (Hack, v1.1)	2022	hack
nbajamse	Sports	4	horizontal	nbajamte	NBA Jam Special Edition (Wolf-Unit, rev 5.05 12/23/25)	2025	hack (Team Jam)
nbajamse502	Sports	4	horizontal	nbajamte	NBA JAM Special Edition (T-Unit, rev 5.02 4/26/25)	2025	hack (Team Jam)
nbajamte	Sports	4	horizontal		NBA Jam Tournament Edition (rev 4.0 3/23/94)	1994	Midway
nbajamte1	Sports	4	horizontal	nbajamte	NBA Jam Tournament Edition (rev 1.00 1/17/94)	1994	Midway
nbajamte2	Sports	4	horizontal	nbajamte	NBA Jam Tournament Edition (rev 2.1 2/06/94)	1994	Midway
nbajamte2a	Sports	4	horizontal	nbajamte	NBA Jam Tournament Edition (rev 2.0 1/28/94)	1994	Midway
nbajamte3	Sports	4	horizontal	nbajamte	NBA Jam Tournament Edition (rev 3.0 3/04/94)	1994	Midway
nbajamte3a	Sports	4	horizontal	nbajamte	NBA Jam Tournament Edition (rev 3.0 2/26/94)	1994	Midway
nbajamte4	Sports	4	horizontal	nbajamte	NBA Jam Tournament Edition (rev 4.0 3/03/94)	1994	Midway
